,tweet_id_str,date_time,location,tweet_text
26,1420394495665922052,2021-07-28 14:43:32,Nairobi,THIRD SHOT: Pfizer data suggests third dose of COVID-19 vaccine strongly boosts protection against Delta variant. https://t.co/bhyGKZbdwu
27,1420394306943307780,2021-07-28 14:42:47,"Nairobi, Kenya","Samia Suluhu takes the COVID-19 Jab. Urges Tanzanian citizens to follow suit. ION UK PM Boris Johnson pledges to donate 819,000 doses of Johnson and Johnson COVID-19 vaccine doses to Kenya. https://t.co/8Ickpsf9nD"
28,1420391055493636100,2021-07-28 14:29:51,Nairobi Kenya,"Kenya has secured 817,000 doses of Oxford-AstraZeneca Covid-19 vaccine in efforts to fight against the virus.

The announcement was made during President Uhuru Kenyatta’s trip to London where he met UK’s Prime Minister Boris Johnson. https://t.co/0Fo8pBdAx9"
29,1420385969694552072,2021-07-28 14:09:39,"Nairobi, Kenya","Uhuru secures 817,000 doses of Oxford-AstraZeneca from UK for Covid fight via: @SwalaNyetiKe 
 https://t.co/AlGjWAnpBt 
#KenyaUKSummit 
#KenyaUKRelations"
30,1420382783004979203,2021-07-28 13:56:59,"Nairobi, Kenya",If only there was a bit of truth about Covid vaccine increasing women's cup size..wengine tulikwamia small size but tuko tu sawa coz we're equally small😆 https://t.co/fMzBZQtWx7
31,1420381941585563664,2021-07-28 13:53:38,"Muranga, Kenya",😂😂😂😂Fast forward to 2025 and PFizer study shows that 35th dose of Covid is associated with immortality. Fuck these corps. https://t.co/nhy1ck4V7V
32,1420381353279987713,2021-07-28 13:51:18,"Nairobi, Kenya",Covid-19 Vaccination update: https://t.co/kw858Wx1YO
33,1420380790895022081,2021-07-28 13:49:04,"Nairobi, Kenya","Tanzania: President Samia Suluhu Hassan has today unveiled COVID-19 vaccination in the country. She was the first one to be vaccinated with the  Johnson and Johnson vaccine. 

#successafrika #africa #Tanzania #Covid_19 https://t.co/L9EMetEfNT"
34,1420378205500870657,2021-07-28 13:38:48,Nairobi,"Kenya secures 817,000 AstraZeneca vaccines from UK Govt: Kenya has secured 817,000 doses of Oxford-AstraZeneca Covid-19 vaccine in efforts to fight against the virus. https://t.co/KMjovnqZCC"
35,1420376925965594630,2021-07-28 13:33:43,"Migori, Kenya","My Father and Mother died UNDER ONE WEEK due to COVID-19, HAD BLOOD CLOT from AstraZeneca first dose https://t.co/m99K7Q3XLF"
36,1420376794142846977,2021-07-28 13:33:11,"Nairobi, KENYA","Uhuru secures 817,000 doses of Oxford-Astrazeneca from UK for Covid fight via @SwalaNyetiKe https://t.co/E4cntDh78s #KenyaUKSummit #KenyaUKRelations"
